gene_id	gene_name	vtype	group	chrom	start_x	end_x	arm	cytoband	biotype	n_samples	vtypes	mid	win_start	win_end	A_log2r	B_log2r	diff	A_cn	B_cn
ENSG00000117091	CD48	SV	GroupA	1	160678746	160711831	q	1q4	protein_coding	5	DEL	160695288	160000000	161000000	3.0000	2.2914	-0.7086	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000188603	CLN3	SV	GroupA	16	28474111	28495575	p	16p1	protein_coding	5	DEL	28484843	28000000	29000000	2.7673	3.0000	0.2327	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000227684	CROCCP4	SV	GroupA	1	16750233	16750964	p	1p11	transcribed_unprocessed_pseudogene	5	DEL	16750598	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000023892	DEF6	SV	GroupA	6	35297818	35321771	p	6p3	protein_coding	5	DEL	35309794	35000000	36000000	2.5552	3.0000	0.4448	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000116133	DHCR24	SV	GroupA	1	54849627	54887195	p	1p7	protein_coding	5	DEL	54868411	54000000	55000000	3.0000	2.9090	-0.0910	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000285467	DHRS4L1	SV	GroupA	14	23969931	24051377	q	14q1	lncRNA	5	DEL	24010654	24000000	25000000	1.9755	2.9363	0.9607	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000086061	DNAJA1	SV	GroupA	9	33025273	33039907	p	9p1	protein_coding	5	DEL	33032590	33000000	34000000	2.9892	2.5609	-0.4283	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000223643	ENSG00000223643	SV	GroupA	1	16851257	16853129	p	1p11	lncRNA	5	DEL	16852193	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000223999	ENSG00000223999	SV	GroupA	22	22692778	22693312	q	22q1	lncRNA	5	DEL	22693045	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000226595	ENSG00000226595	SV	GroupA	22	22465659	22465986	q	22q1	unprocessed_pseudogene	5	DEL	22465822	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000228549	ENSG00000228549	SV	GroupA	1	16870945	16883659	p	1p11	lncRNA	5	DEL	16877302	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000230821	ENSG00000230821	SV	GroupA	22	22446686	22448336	q	22q1	processed_pseudogene	5	DEL	22447511	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000232350	ENSG00000232350	SV	GroupA	22	22689831	22689978	q	22q1	unprocessed_pseudogene	5	DEL	22689904	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000235241	ENSG00000235241	SV	GroupA	1	16889095	16889602	p	1p11	processed_pseudogene	5	DEL	16889348	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000238142	ENSG00000238142	SV	GroupA	1	16887577	16889725	p	1p11	lncRNA	5	DEL	16888651	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000245156	ENSG00000245156	SV	GroupA	11	66269832	66278525	q	11q2	lncRNA	5	DEL	66274178	66000000	67000000	2.7742	3.0000	0.2258	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000254701	ENSG00000254701	SV	GroupA	5	70197255	70207745	q	5q3	unprocessed_pseudogene	5	DEL	70202500	70000000	71000000	1.8435	1.8132	-0.0302	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000262974	ENSG00000262974	SV	GroupA	16	18533418	18533817	p	16p2	processed_pseudogene	5	DEL	18533617	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000277647	ENSG00000277647	SV	GroupA	16	18357026	18357136	p	16p2	unprocessed_pseudogene	5	DEL	18357081	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000278667	ENSG00000278667	SV	GroupA	22	22730725	22731090	q	22q1	processed_pseudogene	5	DEL	22730907	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000286149	ENSG00000286149	SV	GroupA	21	8462320	8462798	p	21p1	TEC	5	DEL	8462559	8000000	9000000	3.0000	3.0000	0.0000	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000286941	ENSG00000286941	SV	GroupA	22	22630546	22633849	q	22q1	lncRNA	5	DEL	22632197	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000289695	ENSG00000289695	SV	GroupA	12	50924969	50970700	q	12q2	protein_coding	5	DEL	50947834	50000000	51000000	2.4742	2.8058	0.3316	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000290851	ENSG00000290851	SV	GroupA	1	16754910	16770237	p	1p11	lncRNA	5	DEL	16762573	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000290990	ENSG00000290990	SV	GroupA	22	22639177	22644473	q	22q1	lncRNA	5	DEL	22641825	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000291270	ENSG00000291270	SV	GroupA	16	18382707	18390919	p	16p2	lncRNA	5	DEL	18386813	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000100121	GGTLC2	SV	GroupA	22	22644614	22647898	q	22q1	protein_coding	5	DEL	22646256	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000273756	GOLGA6L26	SV	GroupA	15	23324535	23334196	q	15q1	protein_coding	5	DEL	23329365	23000000	24000000	-1.1017	-1.8355	-0.7338	hemizygous loss (~1 copy)	deep loss / LOH
ENSG00000261739	GOLGA8S	SV	GroupA	15	23354748	23368341	q	15q1	protein_coding	5	DEL	23361544	23000000	24000000	-1.1017	-1.8355	-0.7338	hemizygous loss (~1 copy)	deep loss / LOH
ENSG00000030582	GRN	SV	GroupA	17	44345246	44353106	q	17q2	protein_coding	5	DEL	44349176	44000000	45000000	2.5908	3.0000	0.4092	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000163754	GYG1	SV	GroupA	3	148991408	149031775	q	3q6	protein_coding	5	DEL	149011591	149000000	150000000	1.8268	2.0793	0.2525	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000173706	HEG1	SV	GroupA	3	124965710	125055997	q	3q4	protein_coding	5	DEL	125010853	125000000	126000000	0.9030	1.2134	0.3104	gain (~3 copies)	gain (~3 copies)
ENSG00000198265	HELZ	SV	GroupA	17	67070444	67245989	q	17q5	protein_coding	5	DEL	67158216	67000000	68000000	2.7323	2.8646	0.1323	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000290912	HERC2P7	SV	GroupA	15	23310881	23314566	q	15q1	lncRNA	5	DEL	23312723	23000000	24000000	-1.1017	-1.8355	-0.7338	hemizygous loss (~1 copy)	deep loss / LOH
ENSG00000211679	IGLC3	SV	GroupA	22	22906342	22906803	q	22q1	IG_C_gene	5	DEL	22906572	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211655	IGLV1-36	SV	GroupA	22	22431958	22432465	q	22q1	IG_V_gene	5	DEL	22432211	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211653	IGLV1-40	SV	GroupA	22	22409766	22410282	q	22q1	IG_V_gene	5	DEL	22410024	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253818	IGLV1-41	SV	GroupA	22	22404207	22404721	q	22q1	IG_V_pseudogene	5	DEL	22404464	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211651	IGLV1-44	SV	GroupA	22	22380766	22381347	q	22q1	IG_V_gene	5	DEL	22381056	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211660	IGLV2-23	SV	GroupA	22	22697789	22698407	q	22q1	IG_V_gene	5	DEL	22698098	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253451	IGLV2-28	SV	GroupA	22	22664473	22664907	q	22q1	IG_V_pseudogene	5	DEL	22664690	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211656	IGLV2-33	SV	GroupA	22	22588155	22588688	q	22q1	IG_V_gene	5	DEL	22588421	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253120	IGLV2-34	SV	GroupA	22	22580014	22580296	q	22q1	IG_V_pseudogene	5	DEL	22580155	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211663	IGLV3-19	SV	GroupA	22	22720623	22721145	q	22q1	IG_V_gene	5	DEL	22720884	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211662	IGLV3-21	SV	GroupA	22	22711689	22713203	q	22q1	IG_V_gene	5	DEL	22712446	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211661	IGLV3-22	SV	GroupA	22	22704265	22704822	q	22q1	IG_V_gene	5	DEL	22704543	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253822	IGLV3-24	SV	GroupA	22	22694439	22694952	q	22q1	IG_V_pseudogene	5	DEL	22694695	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211659	IGLV3-25	SV	GroupA	22	22686726	22687271	q	22q1	IG_V_gene	5	DEL	22686998	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253913	IGLV3-26	SV	GroupA	22	22673152	22673602	q	22q1	IG_V_pseudogene	5	DEL	22673377	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211658	IGLV3-27	SV	GroupA	22	22668288	22668806	q	22q1	IG_V_gene	5	DEL	22668547	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253338	IGLV3-29	SV	GroupA	22	22661299	22661542	q	22q1	IG_V_pseudogene	5	DEL	22661420	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253329	IGLV3-30	SV	GroupA	22	22618572	22619163	q	22q1	IG_V_pseudogene	5	DEL	22618867	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253920	IGLV3-31	SV	GroupA	22	22604445	22605165	q	22q1	IG_V_pseudogene	5	DEL	22604805	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211657	IGLV3-32	SV	GroupA	22	22594528	22595056	q	22q1	IG_V_gene	5	DEL	22594792	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211654	IGLV5-37	SV	GroupA	22	22427540	22428035	q	22q1	IG_V_gene	5	DEL	22427787	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253631	IGLV7-35	SV	GroupA	22	22450202	22450652	q	22q1	IG_V_pseudogene	5	DEL	22450427	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000211652	IGLV7-43	SV	GroupA	22	22395018	22395489	q	22q1	IG_V_gene	5	DEL	22395253	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000254240	IGLVI-20	SV	GroupA	22	22715290	22715419	q	22q1	IG_V_pseudogene	5	DEL	22715354	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253889	IGLVI-38	SV	GroupA	22	22425821	22426314	q	22q1	IG_V_pseudogene	5	DEL	22426067	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000254175	IGLVI-42	SV	GroupA	22	22397032	22397524	q	22q1	IG_V_pseudogene	5	DEL	22397278	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253546	IGLVVI-22-1	SV	GroupA	22	22700760	22700970	q	22q1	IG_V_pseudogene	5	DEL	22700865	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000253779	IGLVVI-25-1	SV	GroupA	22	22679097	22679345	q	22q1	IG_V_pseudogene	5	DEL	22679221	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000254073	IGLVVII-41-1	SV	GroupA	22	22398849	22398999	q	22q1	IG_V_pseudogene	5	DEL	22398924	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000078596	ITM2A	SV	GroupA	X	79360384	79367667	q	Xq2	protein_coding	5	DEL	79364025	79000000	80000000	-3.0000	-3.0000	0.0000	deep loss / LOH	deep loss / LOH
ENSG00000220891	LL22NC03-63E9.3	SV	GroupA	22	22559343	22566602	q	22q1	lncRNA	5	DEL	22562972	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
ENSG00000104774	MAN2B1	SV	GroupA	19	12646511	12666742	p	19p2	protein_coding	5	DEL	12656626	12000000	13000000	2.8260	3.0000	0.1740	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000263811	MIR3675	SV	GroupA	1	16858949	16859021	p	1p11	miRNA	5	DEL	16858985	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000276311	MIR6511A3	SV	GroupA	16	16368876	16368942	p	16p3	miRNA	5	DEL	16368909	16000000	17000000	2.0139	1.1484	-0.8655	high amp (≥4 copies)	gain (~3 copies)
ENSG00000275391	MIR6770-3	SV	GroupA	16	18379351	18379410	p	16p2	miRNA	5	DEL	18379380	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000260399	MPHOSPH10P6	SV	GroupA	15	23337985	23341848	q	15q1	unprocessed_pseudogene	5	DEL	23339916	23000000	24000000	-1.1017	-1.8355	-0.7338	hemizygous loss (~1 copy)	deep loss / LOH
ENSG00000153029	MR1	SV	GroupA	1	181033374	181061938	q	1q6	protein_coding	5	DEL	181047656	181000000	182000000	-0.8548	-0.7698	0.0850	mild loss	mild loss
ENSG00000186715	MST1L	SV	GroupA	1	16757232	16764480	p	1p11	transcribed_unprocessed_pseudogene	5	DEL	16760856	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000158517	NCF1	SV	GroupA	7	74774011	74789315	q	7q2	protein_coding	5	DEL	74781663	74000000	75000000	2.8490	3.0000	0.1510	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000188976	NOC2L	SV	GroupA	1	944203	959309	p	1p13	protein_coding	5	DEL	951756	0	1000000	2.0195	1.7635	-0.2560	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000233024	NPIPA9	SV	GroupA	16	18358086	18379331	p	16p2	protein_coding	5	DEL	18368708	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000230239	PDE4DIPP9	SV	GroupA	1	16855407	16859284	p	1p11	unprocessed_pseudogene	5	DEL	16857345	16000000	17000000	1.6832	2.7638	1.0805	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000261371	PECAM1	SV	GroupA	17	64319415	64413776	q	17q4	protein_coding	5	DEL	64366595	64000000	65000000	2.1237	1.8665	-0.2573	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000121680	PEX16	SV	GroupA	11	45909663	45918812	p	11p1	protein_coding	5	DEL	45914237	45000000	46000000	-0.0192	-0.0674	-0.0482	diploid	diploid
ENSG00000254681	PKD1P5	SV	GroupA	16	18374521	18401940	p	16p2	transcribed_unprocessed_pseudogene	5	DEL	18388230	18000000	19000000	3.0000	2.8948	-0.1052	high amp (≥4 copies)	high amp (≥4 copies)
ENSG00000183169	POM121L1P	SV	GroupA	22	22642251	22644085	q	22q1	transcribed_unprocessed_pseudogene	5	DEL	22643168	22000000	23000000	3.0000	0.1005	-2.8995	high amp (≥4 copies)	diploid
